Norm_Forehead_Width,Norm_Cheekbone_Width,Norm_Jawline_Length,Norm_Facial_Length,Chin_Angle_1,Chin_Angle_2,Cheek_Bone_Angle,forehead_to_cheekbone_ratio,faciallength_to_foreheadwidth_ratio,Target
3.2735,2.394,1.8525,5.2537,65.0,49.45,70.13,1.3674,1.6049,Oblong
3.3744,2.3785,1.9159,4.779,59.86,48.44,61.94,1.4187,1.4163,Oblong
3.3128,2.4297,2.0337,5.1416,77.04,62.06,69.53,1.3634,1.5521,Oblong
3.2458,2.4342,1.9876,5.2676,70.54,56.01,68.76,1.3334,1.6229,Oblong
3.3212,2.4178,1.8872,4.8009,70.26,56.93,71.94,1.3736,1.4455,Oblong
3.3031,2.4018,1.8412,5.1665,59.35,46.41,67.52,1.3753,1.5641,Oblong
3.3165,2.3984,1.9222,5.1746,63.98,50.1,72.69,1.3828,1.5602,Oblong
3.3371,2.4478,1.8121,5.0043,56.46,42.39,66.21,1.3633,1.4996,Oblong
3.3374,2.4441,1.9208,5.2117,64.04,50.4,76.34,1.3655,1.5616,Oblong
3.1921,2.3651,1.9081,5.4365,69.52,54.77,80.2,1.3497,1.7031,Oblong
3.2439,2.4801,1.7819,4.9883,50.88,36.41,55.62,1.308,1.5377,Oblong
3.2641,2.453,2.1141,4.996,80.23,66.87,67.81,1.3306,1.5306,Oblong
3.2156,2.4114,1.8493,5.205,69.42,54.98,76.85,1.3335,1.6187,Oblong
3.2662,2.3971,1.9856,5.2711,69.44,54.98,67.32,1.3626,1.6139,Oblong
3.2213,2.3831,1.9061,5.0858,73.33,58.21,75.9,1.3517,1.5788,Oblong
3.3614,2.3866,1.7855,4.9042,57.64,39.64,73.95,1.4084,1.459,Oblong
3.4796,2.4123,1.8555,5.0635,59.97,42.34,67.12,1.4424,1.4552,Oblong
3.1413,2.3225,1.9423,5.199,71.15,58.13,67.59,1.3526,1.655,Oblong
3.3592,2.4469,2.1292,5.4728,67.83,53.89,66.15,1.3728,1.6292,Oblong
3.2624,2.4329,1.8592,5.4949,65.34,49.73,76.01,1.341,1.6843,Oblong
3.0887,2.2933,1.8183,5.3144,66.61,51.7,87.49,1.3468,1.7206,Oblong
3.4939,2.4429,2.0214,5.0922,64.23,49.69,75.76,1.4302,1.4574,Oblong
3.1907,2.3515,2.008,4.9505,73.94,63.96,59.49,1.3569,1.5515,Oblong
3.5788,2.6636,1.9915,5.4225,61.47,46.66,70.87,1.3436,1.5152,Oblong
3.2111,2.2864,2.0311,5.0891,72.5,59.66,77.03,1.4044,1.5849,Oblong
3.3732,2.4338,2.0037,5.0212,65.24,50.85,63.79,1.386,1.4886,Oblong
3.3165,2.4689,2.1703,5.1347,83.49,70.45,67.09,1.3433,1.5482,Oblong
3.1176,2.3245,1.74,5.1397,63.43,46.89,83.09,1.3412,1.6486,Oblong
3.3644,2.4703,1.9598,4.9065,66.8,52.77,65.01,1.3619,1.4584,Oblong
3.2927,2.4287,1.8629,4.7739,59.52,46.65,60.6,1.3558,1.4499,Oblong
3.41,2.4649,1.8964,5.2198,62.47,47.88,65.72,1.3834,1.5307,Oblong
3.234,2.4287,1.9238,4.8559,73.87,60.41,65.07,1.3316,1.5015,Oblong
