Norm_Forehead_Width,Norm_Cheekbone_Width,Norm_Jawline_Length,Norm_Facial_Length,Chin_Angle_1,Chin_Angle_2,Cheek_Bone_Angle,forehead_to_cheekbone_ratio,faciallength_to_foreheadwidth_ratio,Target
3.3953,2.2696,1.9002,4.5212,67.24,51.86,78.69,1.496,1.3316,Round
3.5624,2.3254,2.0167,5.0469,63.49,50.77,71.72,1.5319,1.4167,Round
3.351,2.2464,1.9331,4.5615,70.12,56.23,68.84,1.4917,1.3613,Round
3.2855,2.2136,1.838,4.5623,67.79,52.29,77.04,1.4842,1.3886,Round
3.2943,2.2381,1.9431,4.7634,67.17,53.97,72.95,1.4719,1.4459,Round
3.3894,2.3758,1.905,4.7624,66.61,52.17,79.38,1.4266,1.4051,Round
3.4611,2.3333,1.8086,4.2126,71.51,56.92,80.74,1.4833,1.2171,Round
3.4055,2.4914,1.7872,4.7465,66.41,52.0,77.94,1.3669,1.3938,Round
3.1074,2.3627,1.7054,4.6978,73.03,58.71,77.18,1.3152,1.5118,Round
3.1286,2.3048,1.6328,4.4263,69.49,58.39,84.29,1.3574,1.4148,Round
3.42,2.4977,1.8477,4.9738,54.54,42.93,65.0,1.3693,1.4543,Round
3.5228,2.5224,2.1086,5.226,74.65,63.1,82.39,1.3966,1.4835,Round
3.3706,2.4228,1.8165,4.7132,57.17,46.67,65.77,1.3912,1.3983,Round
3.2136,2.4301,1.8533,4.5062,71.13,60.21,71.47,1.3225,1.4022,Round
3.3132,2.4395,1.7948,4.5888,70.55,57.87,72.37,1.3582,1.385,Round
3.3285,2.4032,2.0521,4.8844,74.06,63.76,76.01,1.385,1.4675,Round
3.3702,2.3477,1.8208,4.3283,70.79,59.07,85.05,1.4355,1.2843,Round
3.3007,2.3417,2.1184,4.901,83.23,71.05,76.7,1.4096,1.4848,Round
3.2659,2.5001,1.7533,4.9663,70.81,55.53,94.88,1.3063,1.5207,Round
3.4674,2.4428,1.857,4.508,70.46,59.49,81.36,1.4195,1.3001,Round
3.456,2.4645,1.9706,4.9963,68.87,55.74,75.82,1.4023,1.4457,Round
3.3759,2.5014,1.848,4.7188,71.64,59.13,75.92,1.3496,1.3978,Round
3.2368,2.3853,1.8148,4.4942,76.9,64.15,84.72,1.357,1.3885,Round
3.254,2.351,1.8433,4.8523,73.21,61.0,97.0,1.3841,1.4912,Round
3.3549,2.3921,1.8257,4.7632,66.18,50.74,78.94,1.4025,1.4198,Round
3.3731,2.4515,2.0849,4.8803,80.64,69.06,74.65,1.3759,1.4468,Round
3.1867,2.3377,1.7457,4.6537,70.43,57.14,76.93,1.3632,1.4604,Round
3.4537,2.4978,1.8265,5.0654,67.17,55.12,82.95,1.3827,1.4667,Round
3.3487,2.3516,1.8913,4.8142,67.48,56.09,76.64,1.424,1.4376,Round
3.111,2.2589,1.8049,4.4248,73.07,61.86,77.56,1.3772,1.4223,Round
3.3435,2.4176,1.823,4.8983,70.21,56.74,86.03,1.383,1.465,Round
3.261,2.3393,1.645,4.2442,69.03,55.86,82.01,1.394,1.3015,Round
