Norm_Forehead_Width,Norm_Cheekbone_Width,Norm_Jawline_Length,Norm_Facial_Length,Chin_Angle_1,Chin_Angle_2,Cheek_Bone_Angle,forehead_to_cheekbone_ratio,faciallength_to_foreheadwidth_ratio,Target
3.3363,2.2329,2.0606,4.7976,72.64,60.16,77.3,1.4942,1.438,Square
3.7687,2.5003,2.2917,5.5256,71.01,57.08,79.88,1.5073,1.4662,Square
3.3536,2.2606,1.856,4.4399,63.78,49.81,68.38,1.4835,1.3239,Square
3.4956,2.3583,1.8923,4.723,67.05,54.25,64.27,1.4823,1.3511,Square
3.5939,2.3912,1.9713,4.8842,69.27,54.12,78.51,1.503,1.359,Square
3.4005,2.2578,1.9888,4.7838,66.81,53.26,75.58,1.5061,1.4068,Square
3.2822,2.2015,1.9204,4.7002,67.75,54.32,73.08,1.4909,1.432,Square
3.3635,2.4009,1.8722,4.3914,77.82,64.64,88.6,1.4009,1.3056,Square
3.3322,2.3807,2.009,4.8358,67.24,55.49,71.24,1.3997,1.4512,Square
3.168,2.3489,1.8384,4.7275,70.57,57.01,77.09,1.3487,1.4922,Square
3.4578,2.3976,1.9357,4.6656,71.3,58.51,74.41,1.4422,1.3493,Square
3.3262,2.4212,1.6487,4.1877,74.29,61.39,83.97,1.3738,1.259,Square
3.1943,2.3864,1.6806,4.3476,72.19,59.46,89.38,1.3385,1.3611,Square
3.4196,2.4997,1.8585,4.5952,69.57,57.74,68.54,1.368,1.3438,Square
3.2967,2.3725,1.9474,4.5965,74.34,61.59,72.66,1.3896,1.3943,Square
3.3259,2.4608,1.8247,4.7907,74.07,59.79,83.05,1.3516,1.4404,Square
3.2999,2.4092,1.8644,4.691,65.62,51.74,73.89,1.3697,1.4215,Square
3.3081,2.4864,1.895,4.5864,75.58,64.6,75.65,1.3305,1.3864,Square
3.3281,2.4291,1.8009,4.6623,65.11,53.25,69.5,1.3701,1.4009,Square
3.3036,2.4569,1.9014,4.8626,69.43,57.46,69.74,1.3446,1.4719,Square
3.4481,2.4564,1.989,4.6477,75.95,60.77,74.68,1.4037,1.3479,Square
3.4389,2.418,1.9486,4.7503,74.8,59.72,81.48,1.4222,1.3813,Square
3.3841,2.4177,1.9038,4.6014,71.04,59.21,76.44,1.3997,1.3597,Square
3.2642,2.3328,1.7667,4.6872,71.57,55.56,87.0,1.3993,1.4359,Square
3.5323,2.3956,1.8615,4.5209,70.13,55.68,89.42,1.4745,1.2799,Square
3.3817,2.3936,1.8558,4.3194,81.47,67.67,87.85,1.4128,1.2773,Square
3.4386,2.5102,1.8607,4.7376,68.93,57.95,72.8,1.3699,1.3778,Square
3.3027,2.3591,1.8644,4.7688,70.88,59.29,80.81,1.4,1.4439,Square
3.4225,2.4127,1.9998,4.9343,70.38,55.46,78.88,1.4185,1.4417,Square
3.1537,2.4002,1.7497,4.7083,60.84,49.1,71.57,1.3139,1.493,Square
3.3488,2.4069,1.902,4.6432,71.71,58.28,70.67,1.3913,1.3865,Square
3.4291,2.4057,1.9767,4.7784,71.08,57.83,70.66,1.4254,1.3935,Square
3.2653,2.4483,1.9237,4.8646,74.67,64.7,69.91,1.3337,1.4898,Square
3.5689,2.4073,2.0196,4.592,72.27,60.83,70.91,1.4825,1.2867,Square
3.3188,2.372,1.9625,4.919,68.45,53.41,67.27,1.3992,1.4822,Square
3.3063,2.4054,1.9248,4.9226,70.96,55.79,65.66,1.3745,1.4889,Square
3.1488,2.3781,1.667,4.6428,73.95,58.34,94.47,1.3241,1.4745,Square
3.4739,2.4886,1.9476,4.8903,68.52,54.61,70.7,1.3959,1.4077,Square
3.2821,2.4116,1.9985,4.816,69.77,58.58,68.72,1.361,1.4673,Square
3.4096,2.4198,1.8161,4.7397,70.59,56.76,88.45,1.409,1.3901,Square
3.2685,2.3979,1.8549,4.5413,75.27,60.27,75.31,1.363,1.3894,Square
3.4,2.4136,1.9313,4.5489,68.49,57.06,68.15,1.4087,1.3379,Square
3.4132,2.4326,1.9401,4.6339,73.77,61.69,73.39,1.4031,1.3576,Square
3.2699,2.416,1.8539,4.733,68.02,53.34,68.59,1.3534,1.4474,Square
3.2206,2.4001,1.9251,4.9833,76.87,61.13,79.79,1.3418,1.5473,Square
3.1624,2.3473,1.9235,4.8553,65.38,51.06,71.66,1.3473,1.5353,Square
3.3789,2.3781,1.7613,4.1708,72.21,56.69,72.02,1.4208,1.2344,Square
