chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,face_shape
65.0,49.45,70.13,1.3674,1.6049,1.7671,Oblong
59.86,48.44,61.94,1.4187,1.4163,1.7613,Oblong
77.04,62.06,69.53,1.3635,1.552,1.629,Oblong
70.54,56.01,68.76,1.3334,1.6229,1.633,Oblong
70.26,56.93,71.94,1.3736,1.4455,1.7599,Oblong
59.35,46.41,67.52,1.3753,1.5641,1.794,Oblong
63.98,50.1,72.69,1.3828,1.5603,1.7254,Oblong
56.46,42.39,66.21,1.3633,1.4996,1.8416,Oblong
64.04,50.4,76.34,1.3655,1.5616,1.7375,Oblong
69.52,54.77,80.2,1.3497,1.7031,1.6729,Oblong
50.88,36.41,55.62,1.308,1.5377,1.8205,Oblong
80.23,66.87,67.81,1.3307,1.5306,1.544,Oblong
69.42,54.98,76.85,1.3335,1.6187,1.7388,Oblong
69.44,54.98,67.32,1.3626,1.6138,1.6449,Oblong
73.33,58.21,75.9,1.3517,1.5788,1.69,Oblong
57.64,39.64,73.95,1.4084,1.459,1.8826,Oblong
59.97,42.34,67.12,1.4424,1.4552,1.8753,Oblong
71.15,58.13,67.59,1.3526,1.655,1.6173,Oblong
67.83,53.89,66.15,1.3728,1.6292,1.5777,Oblong
65.34,49.73,76.01,1.341,1.6843,1.7547,Oblong
66.61,51.7,87.49,1.3468,1.7206,1.6987,Oblong
64.23,49.69,75.76,1.4302,1.4575,1.7285,Oblong
73.94,63.96,59.49,1.3569,1.5515,1.589,Oblong
61.47,46.66,70.87,1.3436,1.5152,1.797,Oblong
72.5,59.66,77.03,1.4044,1.5848,1.581,Oblong
65.24,50.85,63.79,1.386,1.4886,1.6835,Oblong
83.49,70.45,67.09,1.3433,1.5482,1.5281,Oblong
63.43,46.89,83.09,1.3412,1.6486,1.7917,Oblong
66.8,52.77,65.01,1.3619,1.4584,1.7167,Oblong
59.52,46.65,60.6,1.3557,1.4498,1.7675,Oblong
62.47,47.88,65.72,1.3834,1.5307,1.7981,Oblong
73.87,60.41,65.07,1.3316,1.5015,1.681,Oblong
67.76,53.32,67.28,1.362,1.6404,1.6278,Oblong
75.41,61.26,66.3,1.3328,1.5957,1.5832,Oblong
46.01,33.68,57.05,1.4318,1.4867,1.8825,Oblong
61.74,46.41,66.08,1.3829,1.4589,1.776,Oblong
67.01,52.63,65.39,1.3511,1.4566,1.7312,Oblong
69.62,54.2,66.8,1.335,1.5842,1.7044,Oblong
64.1,49.94,73.1,1.3556,1.5472,1.7291,Oblong
62.8,45.04,78.47,1.3314,1.4743,1.8449,Oblong
74.33,63.29,67.36,1.3924,1.4867,1.6351,Oblong
74.68,60.51,89.95,1.3748,1.4484,1.7584,Oblong
73.77,59.17,79.3,1.3527,1.4476,1.8229,Oblong
67.39,53.21,69.91,1.474,1.3781,1.7299,Oblong
69.65,54.93,70.82,1.3295,1.5585,1.7281,Oblong
62.65,48.08,64.61,1.3422,1.503,1.7139,Oblong
68.31,55.19,68.76,1.3991,1.5142,1.6719,Oblong
71.68,57.5,68.16,1.3473,1.5539,1.6312,Oblong
71.11,56.21,79.84,1.33,1.5629,1.7145,Oblong
74.17,58.27,72.9,1.3778,1.6299,1.6375,Oblong
58.2,43.85,56.72,1.3273,1.4622,1.7845,Oblong
69.09,53.82,71.3,1.3283,1.5267,1.7747,Oblong
74.52,60.19,72.94,1.3634,1.5819,1.6117,Oblong
71.29,58.32,72.38,1.3525,1.6456,1.635,Oblong
65.57,51.99,60.98,1.4186,1.4459,1.669,Oblong
59.86,43.99,54.77,1.3545,1.4877,1.7718,Oblong
70.56,53.13,67.49,1.3536,1.6128,1.6843,Oblong
56.94,42.96,60.13,1.3972,1.5385,1.7167,Oblong
