chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,face_shape
67.24,51.86,78.69,1.496,1.3316,1.7868,Round
63.49,50.77,71.72,1.532,1.4167,1.7665,Round
70.12,56.23,68.84,1.4917,1.3612,1.7335,Round
67.79,52.29,77.04,1.4842,1.3886,1.7875,Round
67.17,53.97,72.95,1.4719,1.446,1.6954,Round
66.61,52.17,79.38,1.4266,1.4051,1.7792,Round
71.51,56.92,80.74,1.4833,1.2171,1.9137,Round
66.41,52.0,77.94,1.3669,1.3938,1.9055,Round
73.03,58.71,77.18,1.3152,1.5118,1.8221,Round
69.49,58.39,84.29,1.3574,1.4148,1.9161,Round
54.54,42.93,65.0,1.3693,1.4543,1.8509,Round
74.65,63.1,82.39,1.3966,1.4835,1.6707,Round
57.17,46.67,65.77,1.3912,1.3983,1.8555,Round
71.13,60.21,71.47,1.3224,1.4022,1.734,Round
70.55,57.87,72.37,1.3581,1.385,1.846,Round
74.06,63.76,76.01,1.385,1.4674,1.622,Round
70.79,59.07,85.05,1.4355,1.2843,1.8509,Round
83.23,71.05,76.7,1.4095,1.4848,1.5581,Round
70.81,55.53,94.88,1.3063,1.5207,1.8627,Round
70.46,59.49,81.36,1.4194,1.3001,1.8672,Round
68.87,55.74,75.82,1.4023,1.4457,1.7538,Round
71.64,59.13,75.92,1.3496,1.3978,1.8268,Round
76.9,64.15,84.72,1.357,1.3885,1.7836,Round
73.21,61.0,97.0,1.3841,1.4912,1.7653,Round
66.18,50.74,78.94,1.4025,1.4198,1.8376,Round
80.64,69.06,74.65,1.3759,1.4468,1.6179,Round
70.43,57.14,76.93,1.3632,1.4604,1.8255,Round
67.17,55.12,82.95,1.3827,1.4667,1.8909,Round
67.48,56.09,76.64,1.424,1.4376,1.7706,Round
73.07,61.86,77.56,1.3772,1.4223,1.7236,Round
70.21,56.74,86.03,1.383,1.465,1.8341,Round
69.03,55.86,82.01,1.394,1.3015,1.9824,Round
60.41,49.71,80.6,1.3594,1.4022,1.9424,Round
64.53,51.75,85.67,1.4141,1.3484,2.0117,Round
63.1,49.5,73.38,1.4089,1.3676,1.8766,Round
72.24,60.87,73.18,1.3365,1.4752,1.6925,Round
75.84,64.41,85.66,1.3801,1.3802,1.8384,Round
74.51,61.16,76.96,1.3,1.497,1.7985,Round
64.88,53.33,70.96,1.4164,1.4129,1.7122,Round
73.49,61.19,75.02,1.4091,1.351,1.7838,Round
70.38,59.89,81.32,1.3489,1.5721,1.7386,Round
64.34,48.29,80.79,1.3607,1.414,1.9675,Round
69.75,55.87,81.46,1.4073,1.4455,1.7085,Round
69.77,55.04,73.5,1.3933,1.4328,1.8215,Round
69.23,53.7,77.04,1.3356,1.4813,1.8018,Round
61.22,48.46,76.6,1.3858,1.4067,1.8306,Round
79.89,67.72,95.78,1.3185,1.382,1.8633,Round
75.02,60.98,65.87,1.3823,1.3785,1.7778,Round
73.65,61.88,76.15,1.3995,1.315,1.8401,Round
66.41,52.0,77.94,1.3669,1.3938,1.9055,Round
64.49,52.78,69.78,1.3975,1.4084,1.7468,Round
66.43,53.16,72.11,1.3767,1.4154,1.8363,Round
56.65,43.35,71.49,1.3415,1.5232,1.7949,Round
74.51,63.56,75.1,1.3779,1.4032,1.7717,Round
71.01,58.73,76.68,1.3575,1.3467,1.8925,Round
62.59,47.38,75.54,1.3882,1.4251,1.9104,Round
72.62,59.46,74.05,1.3749,1.4083,1.8148,Round
65.64,52.67,78.34,1.4055,1.382,1.8643,Round
70.64,56.73,71.27,1.3722,1.3828,1.7575,Round
83.45,72.14,72.16,1.3867,1.3952,1.6787,Round
66.42,53.76,73.7,1.3849,1.3808,1.862,Round
69.59,54.8,79.11,1.3594,1.4014,1.8695,Round
78.32,65.67,75.57,1.4097,1.3756,1.7514,Round
66.41,53.04,77.87,1.3787,1.3691,1.9302,Round
72.31,60.32,81.26,1.4154,1.3631,1.7412,Round
69.9,58.35,76.33,1.3693,1.4137,1.7735,Round
67.38,52.98,82.49,1.367,1.4889,1.825,Round
63.8,50.81,71.02,1.3889,1.3946,1.8171,Round
67.98,53.96,87.83,1.4115,1.4041,1.8876,Round
72.58,59.88,77.88,1.4311,1.2915,1.8527,Round
73.49,58.5,87.48,1.3623,1.3669,1.8686,Round
70.61,56.88,64.13,1.3361,1.4495,1.7747,Round
70.08,59.04,73.65,1.4114,1.3988,1.6675,Round
71.06,57.02,70.75,1.3627,1.4809,1.7187,Round
63.66,49.24,72.33,1.4771,1.491,1.6889,Round
72.65,56.82,89.51,1.4685,1.2544,1.9382,Round
70.35,56.12,90.7,1.4619,1.3786,1.8295,Round
80.06,68.63,74.97,1.4454,1.2826,1.7806,Round
72.47,58.3,74.7,1.4881,1.3729,1.7133,Round
62.33,47.34,82.05,1.4438,1.3098,2.0041,Round
72.49,57.67,73.81,1.4674,1.2951,1.8697,Round
72.9,58.67,78.3,1.4853,1.302,1.8763,Round
70.96,58.23,72.8,1.468,1.2781,1.8786,Round
68.36,54.64,81.37,1.4757,1.3875,1.8229,Round
