chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,face_shape
72.64,60.16,77.3,1.4942,1.438,1.6191,Square
71.01,57.08,79.88,1.5073,1.4662,1.6445,Square
63.78,49.81,68.38,1.4835,1.3239,1.8069,Square
67.05,54.25,64.27,1.4823,1.3511,1.8473,Square
69.27,54.12,78.51,1.503,1.359,1.8231,Square
66.81,53.26,75.58,1.5061,1.4068,1.7098,Square
67.75,54.32,73.08,1.4909,1.432,1.7091,Square
77.82,64.64,88.6,1.4009,1.3056,1.7965,Square
67.24,55.49,71.24,1.3997,1.4512,1.6586,Square
70.57,57.01,77.09,1.3487,1.4923,1.7232,Square
71.3,58.51,74.41,1.4422,1.3493,1.7863,Square
74.29,61.39,83.97,1.3738,1.259,2.0175,Square
72.19,59.46,89.38,1.3385,1.361,1.9007,Square
69.57,57.74,68.54,1.368,1.3438,1.84,Square
74.34,61.59,72.66,1.3895,1.3943,1.6929,Square
74.07,59.79,83.05,1.3516,1.4404,1.8227,Square
65.62,51.74,73.89,1.3697,1.4216,1.77,Square
75.58,64.6,75.65,1.3305,1.3864,1.7457,Square
65.11,53.25,69.5,1.3701,1.4009,1.848,Square
69.43,57.46,69.74,1.3446,1.4719,1.7375,Square
75.95,60.77,74.68,1.4037,1.3479,1.7336,Square
74.8,59.72,81.48,1.4222,1.3813,1.7648,Square
71.04,59.21,76.44,1.3997,1.3597,1.7776,Square
71.57,55.56,87.0,1.3993,1.4359,1.8476,Square
70.13,55.68,89.42,1.4745,1.2799,1.8976,Square
81.47,67.67,87.85,1.4128,1.2773,1.8222,Square
68.93,57.95,72.8,1.3699,1.3778,1.848,Square
70.88,59.29,80.81,1.4,1.4439,1.7715,Square
70.38,55.46,78.88,1.4185,1.4417,1.7114,Square
60.84,49.1,71.57,1.3139,1.4929,1.8024,Square
71.71,58.28,70.67,1.3913,1.3865,1.7607,Square
71.08,57.83,70.66,1.4254,1.3935,1.7348,Square
74.67,64.7,69.91,1.3337,1.4898,1.6974,Square
72.27,60.83,70.91,1.4825,1.2867,1.7671,Square
68.45,53.41,67.27,1.3992,1.4822,1.6911,Square
70.96,55.79,65.66,1.3745,1.4889,1.7177,Square
73.95,58.34,94.47,1.3241,1.4745,1.8889,Square
68.52,54.61,70.7,1.3959,1.4077,1.7837,Square
69.77,58.58,68.72,1.361,1.4674,1.6423,Square
70.59,56.76,88.45,1.409,1.3901,1.8774,Square
75.27,60.27,75.31,1.3631,1.3894,1.7621,Square
68.49,57.06,68.15,1.4087,1.3379,1.7605,Square
73.77,61.69,73.39,1.4031,1.3576,1.7593,Square
68.02,53.34,68.59,1.3534,1.4474,1.7638,Square
76.87,61.13,79.79,1.3419,1.5473,1.673,Square
65.38,51.06,71.66,1.3473,1.5353,1.6441,Square
72.21,56.69,72.02,1.4208,1.2344,1.9184,Square
68.09,54.63,73.23,1.4008,1.3961,1.751,Square
66.43,52.85,64.1,1.3904,1.4308,1.7852,Square
70.61,58.52,81.9,1.3784,1.3824,1.8584,Square
72.17,56.13,88.43,1.3598,1.3738,1.9572,Square
66.29,53.6,61.5,1.3892,1.4152,1.7041,Square
71.68,60.05,78.4,1.3681,1.4811,1.6783,Square
73.0,60.45,79.93,1.3653,1.494,1.6512,Square
77.05,63.82,80.28,1.3706,1.4738,1.702,Square
71.88,60.73,78.87,1.3971,1.3498,1.7996,Square
62.96,48.72,62.68,1.3606,1.5869,1.6551,Square
67.75,54.25,79.57,1.3668,1.4272,1.8573,Square
68.27,52.81,86.29,1.4424,1.4706,1.7088,Square
64.2,51.67,64.37,1.3457,1.4396,1.7648,Square
74.1,60.69,78.15,1.3906,1.4063,1.7223,Square
70.48,57.57,74.66,1.4042,1.4014,1.7547,Square
73.66,60.43,70.41,1.3734,1.3997,1.6899,Square
72.31,61.33,69.13,1.3861,1.3794,1.6924,Square
73.11,58.22,79.33,1.3359,1.5357,1.73,Square
72.77,57.6,85.05,1.3681,1.4708,1.8318,Square
65.9,52.64,82.0,1.377,1.5927,1.6966,Square
67.63,55.58,70.7,1.3556,1.381,1.8997,Square
70.11,58.74,79.02,1.4321,1.3364,1.8656,Square
69.43,57.76,75.12,1.4164,1.3379,1.8097,Square
74.97,64.71,87.22,1.4215,1.4242,1.7413,Square
76.09,61.16,63.84,1.4481,1.3843,1.6856,Square
71.92,57.62,75.68,1.3942,1.5261,1.7332,Square
69.61,53.64,83.49,1.4979,1.4519,1.6963,Square
68.41,55.28,93.7,1.5298,1.4034,1.7023,Square
70.64,58.16,85.26,1.5266,1.4315,1.7162,Square
72.07,59.16,80.7,1.5269,1.4243,1.656,Square
67.47,54.79,89.58,1.5127,1.4774,1.7617,Square
72.47,59.3,88.47,1.5047,1.4243,1.6982,Square
64.44,51.34,73.71,1.4937,1.4352,1.7207,Square
70.49,55.2,75.63,1.4774,1.3806,1.7858,Square
70.35,56.31,80.74,1.4511,1.3692,1.8111,Square
