chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,face_shape
71.75,60.78,56.56,-3.0917,2.953,-0.8984,0.6695,3.217,-0.2918,Heart_face_shape
66.85,53.26,71.49,-3.0961,2.684,-0.8825,0.8301,2.4382,-0.3979,Heart_face_shape
67.23,54.94,75.94,-1.9072,3.3252,-0.8376,0.6419,2.065,-0.5405,Heart_face_shape
69.23,53.34,78.24,-1.3617,5.0096,-0.6153,0.683,2.9011,-0.2627,Heart_face_shape
67.81,55.99,73.96,-2.4536,3.2102,-0.8103,0.6357,2.0393,-0.5606,Heart_face_shape
67.98,54.45,65.33,-2.5403,2.9833,-0.8477,0.894,3.5839,-0.2113,Heart_face_shape
61.07,46.9,67.93,-2.5959,3.1238,-0.7849,0.7777,2.9746,-0.3034,Heart_face_shape
74.08,62.75,78.84,-1.7028,3.8766,-0.7329,0.6045,2.4701,-0.3907,Heart_face_shape
58.97,47.38,65.62,-2.1173,3.1115,-0.8889,0.7809,2.4179,-0.3849,Heart_face_shape
72.21,59.31,65.49,-2.4912,3.0783,-0.8825,0.811,2.9104,-0.2796,Heart_face_shape
66.22,53.58,80.83,-1.7673,4.275,-0.6246,0.6242,2.8139,-0.3052,Heart_face_shape
68.09,53.36,71.42,-1.716,3.9758,-0.7354,0.5315,2.2886,-0.511,Heart_face_shape
64.81,51.82,64.39,-2.7886,2.543,-1.0166,0.8526,2.2511,-0.426,Heart_face_shape
64.15,51.07,70.53,-2.73,3.148,-0.8013,0.681,2.524,-0.4039,Heart_face_shape
71.72,58.18,77.27,-1.7261,3.3767,-0.882,0.601,2.1967,-0.5503,Heart_face_shape
63.67,50.74,60.97,-1.9936,3.501,-0.8282,0.6792,3.2753,-0.2702,Heart_face_shape
66.18,52.93,65.9,-2.7263,2.839,-0.9214,0.7161,2.228,-0.4955,Heart_face_shape
64.6,51.74,65.81,-3.4221,2.8263,-0.9093,0.7133,2.266,-0.4646,Heart_face_shape
64.05,49.76,64.71,-1.456,5.1155,-0.5781,0.6451,4.7379,-0.1502,Heart_face_shape
64.76,52.02,63.89,-2.292,3.6873,-0.7644,0.7256,3.6615,-0.2208,Heart_face_shape
74.54,61.43,64.91,-3.0779,3.1742,-0.8126,0.8063,3.8128,-0.1966,Heart_face_shape
66.83,54.88,63.26,-2.3595,3.3814,-0.8208,0.6132,2.3633,-0.4543,Heart_face_shape
64.43,53.83,70.92,-1.5782,4.1543,-0.7444,0.5575,2.8168,-0.3393,Heart_face_shape
73.93,61.91,72.39,-2.9786,3.3368,-0.7489,0.7328,2.7902,-0.2885,Heart_face_shape
62.3,50.67,60.96,-3.0223,3.5356,-0.7272,0.7019,3.4602,-0.231,Heart_face_shape
62.03,48.03,71.18,-2.1984,3.6266,-0.7322,0.6363,2.5093,-0.4151,Heart_face_shape
70.63,57.26,71.14,-2.2867,3.1972,-0.8549,0.6948,2.3321,-0.4495,Heart_face_shape
62.1,49.16,71.72,-2.1143,3.2331,-0.8187,0.7245,2.6209,-0.377,Heart_face_shape
63.24,49.93,65.81,-2.4989,2.8145,-0.924,0.7837,2.1702,-0.488,Heart_face_shape
68.81,56.35,61.26,-2.5177,3.0817,-0.9158,0.7191,2.5625,-0.3687,Heart_face_shape
67.28,53.19,71.68,-2.3141,3.3453,-0.8267,0.7618,2.422,-0.3645,Heart_face_shape
63.32,49.86,65.44,-2.8417,3.1228,-0.7799,0.7761,3.0163,-0.2897,Heart_face_shape
63.37,49.32,70.81,-2.6005,3.0021,-0.8271,0.9178,3.4235,-0.2243,Heart_face_shape
71.66,58.19,76.09,-3.2477,2.8084,-0.8843,0.7611,2.1208,-0.493,Heart_face_shape
63.55,49.65,61.22,-3.6959,2.5502,-0.9302,0.8474,2.7569,-0.3459,Heart_face_shape
66.42,51.66,64.06,-3.2573,3.0641,-0.767,0.8478,3.8734,-0.1949,Heart_face_shape
64.36,50.71,66.39,-2.4329,2.9907,-0.8757,0.8465,3.2731,-0.2451,Heart_face_shape
69.58,55.54,75.43,-2.4196,3.2741,-0.8365,0.6993,2.132,-0.4733,Heart_face_shape
68.36,54.16,70.48,-1.7581,4.5377,-0.6246,0.6448,3.1268,-0.2604,Heart_face_shape
78.15,66.89,70.13,-3.0164,3.3678,-0.7974,0.6898,3.088,-0.2811,Heart_face_shape
72.48,58.81,69.66,-1.8727,3.3433,-0.9246,0.699,2.2437,-0.4496,Heart_face_shape
66.16,54.85,68.45,-1.8574,3.1239,-0.9315,0.7635,2.725,-0.3218,Heart_face_shape
68.33,56.72,76.0,-2.0599,3.1452,-0.8817,0.6356,1.9193,-0.6159,Heart_face_shape
72.43,57.79,72.02,-2.3529,3.2161,-0.8347,0.7108,2.3226,-0.4454,Heart_face_shape
63.54,51.65,72.76,-2.0884,3.6293,-0.7387,0.6967,2.2628,-0.3993,Heart_face_shape
65.98,53.62,69.16,-2.4828,3.2163,-0.801,0.6958,2.448,-0.4016,Heart_face_shape
70.54,57.25,66.15,-2.4221,2.9205,-1.0044,0.6757,2.2532,-0.483,Heart_face_shape
66.47,52.66,64.58,-3.1342,3.0333,-0.8479,0.7798,2.5671,-0.3554,Heart_face_shape
62.68,52.6,68.96,-2.4493,3.0606,-0.8454,0.6889,1.9666,-0.5396,Heart_face_shape
68.48,55.02,72.82,-2.8619,3.3136,-0.7717,0.6579,2.5005,-0.4027,Heart_face_shape
74.01,61.46,70.81,-3.1008,3.3355,-0.7425,0.6811,2.9411,-0.3007,Heart_face_shape
59.44,46.92,57.3,-2.8088,3.2645,-0.7947,0.6524,2.8205,-0.3461,Heart_face_shape
62.73,51.94,76.82,-2.3751,3.0823,-0.8488,0.6499,1.9649,-0.5876,Heart_face_shape
63.71,52.66,70.11,-1.7814,3.7534,-0.7689,0.6173,2.5,-0.3861,Heart_face_shape
69.15,57.72,69.96,-2.199,3.0213,-0.9757,0.7672,2.1372,-0.4419,Heart_face_shape
65.1,53.36,66.58,-2.562,2.8007,-0.9615,0.7236,2.1053,-0.5151,Heart_face_shape
71.83,57.69,71.12,-2.1033,3.7713,-0.7238,0.6938,2.8186,-0.3124,Heart_face_shape
66.97,51.89,79.94,-1.6045,4.5934,-0.6036,0.6803,2.9007,-0.2787,Heart_face_shape
66.6,50.25,77.37,-3.8666,2.9146,-0.7814,0.8361,2.9863,-0.3038,Heart_face_shape
58.98,46.09,70.11,-2.4258,3.2467,-0.7754,0.796,3.4757,-0.2296,Heart_face_shape
