chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,face_shape
71.75,60.78,56.56,-3.0917,2.953,-0.8984,0.6695,3.217,-0.2918,2.1539,-0.6286,-0.9388,Heart_face_shape
66.85,53.26,71.49,-3.0961,2.684,-0.8825,0.8301,2.4382,-0.3979,2.0238,-0.8052,-0.9701,Heart_face_shape
67.23,54.94,75.94,-1.9072,3.3252,-0.8376,0.6419,2.065,-0.5405,1.3255,-0.7163,-1.116,Heart_face_shape
69.23,53.34,78.24,-1.3617,5.0096,-0.6153,0.683,2.9011,-0.2627,1.9815,-0.5205,-0.7621,Heart_face_shape
67.81,55.99,73.96,-2.4536,3.2102,-0.8103,0.6357,2.0393,-0.5606,1.2964,-0.7267,-1.1431,Heart_face_shape
67.98,54.45,65.33,-2.5403,2.9833,-0.8477,0.894,3.5839,-0.2113,3.2042,-0.677,-0.7573,Heart_face_shape
61.07,46.9,67.93,-2.5959,3.1238,-0.7849,0.7777,2.9746,-0.3034,2.3133,-0.7019,-0.9025,Heart_face_shape
74.08,62.75,78.84,-1.7028,3.8766,-0.7329,0.6045,2.4701,-0.3907,1.4933,-0.5835,-0.9652,Heart_face_shape
58.97,47.38,65.62,-2.1173,3.1115,-0.8889,0.7809,2.4179,-0.3849,1.8882,-0.7268,-0.9307,Heart_face_shape
72.21,59.31,65.49,-2.4912,3.0783,-0.8825,0.811,2.9104,-0.2796,2.3603,-0.66,-0.8138,Heart_face_shape
66.22,53.58,80.83,-1.7673,4.275,-0.6246,0.6242,2.8139,-0.3052,1.7563,-0.536,-0.8588,Heart_face_shape
68.09,53.36,71.42,-1.716,3.9758,-0.7354,0.5315,2.2886,-0.511,1.2163,-0.6215,-1.1694,Heart_face_shape
64.81,51.82,64.39,-2.7886,2.543,-1.0166,0.8526,2.2511,-0.426,1.9192,-0.8176,-0.959,Heart_face_shape
64.15,51.07,70.53,-2.73,3.148,-0.8013,0.681,2.524,-0.4039,1.7187,-0.6942,-1.0195,Heart_face_shape
71.72,58.18,77.27,-1.7261,3.3767,-0.882,0.601,2.1967,-0.5503,1.3201,-0.7265,-1.2089,Heart_face_shape
63.67,50.74,60.97,-1.9936,3.501,-0.8282,0.6792,3.2753,-0.2702,2.2245,-0.6011,-0.885,Heart_face_shape
66.18,52.93,65.9,-2.7263,2.839,-0.9214,0.7161,2.228,-0.4955,1.5955,-0.7906,-1.104,Heart_face_shape
64.6,51.74,65.81,-3.4221,2.8263,-0.9093,0.7133,2.266,-0.4646,1.6164,-0.7509,-1.0527,Heart_face_shape
64.05,49.76,64.71,-1.456,5.1155,-0.5781,0.6451,4.7379,-0.1502,3.0564,-0.4592,-0.7118,Heart_face_shape
64.76,52.02,63.89,-2.292,3.6873,-0.7644,0.7256,3.6615,-0.2208,2.6567,-0.5867,-0.8085,Heart_face_shape
74.54,61.43,64.91,-3.0779,3.1742,-0.8126,0.8063,3.8128,-0.1966,3.0742,-0.6043,-0.7494,Heart_face_shape
66.83,54.88,63.26,-2.3595,3.3814,-0.8208,0.6132,2.3633,-0.4543,1.4491,-0.6583,-1.0736,Heart_face_shape
64.43,53.83,70.92,-1.5782,4.1543,-0.7444,0.5575,2.8168,-0.3393,1.5703,-0.5327,-0.9556,Heart_face_shape
73.93,61.91,72.39,-2.9786,3.3368,-0.7489,0.7328,2.7902,-0.2885,2.0446,-0.5899,-0.805,Heart_face_shape
62.3,50.67,60.96,-3.0223,3.5356,-0.7272,0.7019,3.4602,-0.231,2.4286,-0.5609,-0.7992,Heart_face_shape
62.03,48.03,71.18,-2.1984,3.6266,-0.7322,0.6363,2.5093,-0.4151,1.5966,-0.6627,-1.0416,Heart_face_shape
70.63,57.26,71.14,-2.2867,3.1972,-0.8549,0.6948,2.3321,-0.4495,1.6203,-0.7284,-1.0483,Heart_face_shape
62.1,49.16,71.72,-2.1143,3.2331,-0.8187,0.7245,2.6209,-0.377,1.8988,-0.7159,-0.9881,Heart_face_shape
63.24,49.93,65.81,-2.4989,2.8145,-0.924,0.7837,2.1702,-0.488,1.7008,-0.83,-1.0591,Heart_face_shape
68.81,56.35,61.26,-2.5177,3.0817,-0.9158,0.7191,2.5625,-0.3687,1.8427,-0.6795,-0.9449,Heart_face_shape
67.28,53.19,71.68,-2.3141,3.3453,-0.8267,0.7618,2.422,-0.3645,1.8452,-0.6726,-0.8828,Heart_face_shape
63.32,49.86,65.44,-2.8417,3.1228,-0.7799,0.7761,3.0163,-0.2897,2.341,-0.6782,-0.8738,Heart_face_shape
63.37,49.32,70.81,-2.6005,3.0021,-0.8271,0.9178,3.4235,-0.2243,3.1419,-0.7046,-0.7677,Heart_face_shape
71.66,58.19,76.09,-3.2477,2.8084,-0.8843,0.7611,2.1208,-0.493,1.614,-0.7957,-1.0455,Heart_face_shape
63.55,49.65,61.22,-3.6959,2.5502,-0.9302,0.8474,2.7569,-0.3459,2.3363,-0.8081,-0.9536,Heart_face_shape
66.42,51.66,64.06,-3.2573,3.0641,-0.767,0.8478,3.8734,-0.1949,3.2838,-0.6402,-0.7551,Heart_face_shape
64.36,50.71,66.39,-2.4329,2.9907,-0.8757,0.8465,3.2731,-0.2451,2.7708,-0.6791,-0.8022,Heart_face_shape
69.58,55.54,75.43,-2.4196,3.2741,-0.8365,0.6993,2.132,-0.4733,1.4908,-0.7055,-1.009,Heart_face_shape
68.36,54.16,70.48,-1.7581,4.5377,-0.6246,0.6448,3.1268,-0.2604,2.0162,-0.5249,-0.8141,Heart_face_shape
